rep,task,class,speech_act,cos_index,verdict,rules_hit,spotcheck_sample,cos_text
rep1,t01,1,promise,0,observable,QUOTE+FLAG,False,`tally report --year 2024` filters all expenses whose date falls in that calendar year and prints the same per-category breakdown format (sorted category rows + TOTAL row) that the monthly report produces
rep1,t01,1,promise,1,observable,QUOTE+FLAG,True,"The `report` subparser in `build_parser()` accepts a `--year YYYY` argument (optional, default None)"
rep1,t01,1,promise,2,observable,FILE+QUOTE,False,`format_report` and/or `filter_expenses` in `tally/report.py` support a `year` parameter that restricts expenses to the given calendar year
rep1,t01,1,promise,3,observable,FILE+TEST+QUOTE+FLAG,False,A new test (in `tests/test_report.py`) exercises `--year 2024` against the sample store: asserts the TOTAL equals EXPECTED_GRAND_TOTAL (204.22 USD — all 6 sample rows are in 2024) and that per-category keys match the full category set
rep1,t01,1,promise,4,observable,TEST+QUOTE,True,All pre-existing tests (`pytest`) continue to pass with no regressions
rep1,t02,2,promise,0,observable,QUOTE,False,"`category_totals` accumulates raw sums and calls `round_money` once per category at the end, not once per expense"
rep1,t02,2,promise,1,observable,QUOTE,False,`format_report` derives the TOTAL line from `sum(totals.values())` instead of re-scanning `selected` via `grand_total`
rep1,t02,2,promise,2,observable,TEST+QUOTE,False,All existing tests (`pytest`) continue to pass with zero failures
rep1,t03,3,counter_offer,0,observable,FILE,False,The CSV export function in tally/report.py::to_csv produces rows with no trailing comma
rep1,t03,3,counter_offer,1,vague,,False,All 45 existing tests continue to pass after the change
rep1,t03,3,counter_offer,2,vague,,False,A new or updated test explicitly asserts that no row in the CSV output ends with a trailing comma
rep1,t04,4,counter_offer,0,vague,,True,The actual source of the reported cent-off discrepancy is identified and a targeted fix is proposed
rep1,t04,4,counter_offer,1,observable,FILE+TEST,False,"The existing test suite continues to pass (all tests in tests/test_utils.py, including test_round_money_half_up)"
rep1,t05,1,promise,0,observable,FILE,True,'CAD' appears in tally/rates.py RATES dict with value 0.73
rep1,t05,1,promise,1,vague,,False,"rates.to_usd(100.0, 'CAD') returns 73.0"
rep1,t05,1,promise,2,vague,,False,rates.supported_currencies() includes 'CAD'
rep1,t05,1,promise,3,observable,FLAG,False,tally add accepts --currency CAD and stores the correct USD-normalized amount
rep1,t05,1,promise,4,vague,,False,tally report correctly aggregates CAD-denominated expenses (converted to USD) in its output
rep1,t05,1,promise,5,observable,FILE+TEST+NUM,True,"A new test in tests/test_rates.py (or a clearly named test file) pins the CAD rate: to_usd(100.0, 'CAD') == 73.0"
rep1,t05,1,promise,6,observable,TEST,False,The existing test suite passes with zero failures after the change
rep1,t06,2,counter_offer,0,observable,QUOTE,False,"`from typing import Dict, List, Optional` replaced — `Dict` and `List` are imported but never referenced; only what is actually used remains"
