label,rep,task,class,accept,n_flags,mech_trap_match,matched_terms,trap_flagged_final,misread_flagged_final,control_trap_false_alarm,adjudication_note,primary_risk,flags_concat
E42,rep1,t01,1,yes_with_conditions,2,,,,,False,,The test plan does not prove the requested behavior because its sample data is entirely within the requested year.,"The proposed test would not actually prove year filtering works, because the stated fixture contains no out-of-year expense to exclude. It could pass even if `--year` ignored the year entirely. [span: all 6 sample rows are in 2024] || Leaving the combined `--year` and `--month` case undefined is risky because the parser will accept both options unless the work explicitly prevents it. The contract should define whether this is an error or a combined filter before implementation starts. [span: No defined behavior when both `--year` and `--month` are passed simultaneously (the request does not specify this case)]"
E39,rep1,t02,2,yes_with_conditions,4,,,,True,,flag3: no measurement promised for a speed request,The contract may change report totals through different rounding and TOTAL calculation semantics while treating the work as only a performance optimization.,"Changing when rounding happens can change reported cents for a category, so this is not guaranteed to be a pure speed optimization. The agent should confirm the intended rounding behavior and cover it with tests before proceeding. [span: `category_totals` accumulates raw sums and calls `round_money` once per category at the end, not once per expense] || Deriving TOTAL from already-rounded category totals may change the grand total versus computing it from selected expenses directly. That risks a user-visible reporting change hidden inside a performance task. [span: `format_report` derives the TOTAL line from `sum(totals.values())` instead of re-scanning `selected` via `grand_total`] || The contract only promises the current suite stays green, but the project requires tests for behavioral changes. If rounding or totals change, existing tests alone are not enough. [span: Every behavioural change comes with a test.] || The request is specifically about speed, but the contract does not promise any measurement, benchmark, or before/after evidence that the report command is actually faster. [span: Can you make the report command faster?]"
E43,rep1,t05,1,yes_with_conditions,2,,,,,False,"correct R2 application, cautionary not fabricated",The main risk is that report handling could be implemented as report-time conversion instead of aggregating the USD amount stored at write time.,"The report commitment is ambiguous about when conversion happens. The project requires CAD to be converted at add/write time and reports to total stored USD, so the contract should explicitly avoid report-time reconversion. [span: tally report correctly aggregates CAD-denominated expenses (converted to USD) in its output] || The testing commitment only pins the rate, but the requested behavioral surface includes both add and report. A rate-only test could miss a broken CLI add path or report aggregation path. [span: A new test in tests/test_rates.py (or a clearly named test file) pins the CAD rate: to_usd(100.0, 'CAD') == 73.0]"
E31,rep1,t08,4,no,3,False,,True,,,rejected; R2 contradiction cited directly,The contract directly violates R2 by moving currency conversion from write time to report time.,The contract commits to the opposite of the project's reference requirement: amounts must be converted and stored in USD when recorded. Executing this would knowingly violate the authoritative product behavior rather than just fix a bug. [span: store.add_expense no longer calls normalize() / to_usd() at write time] || The proposed report-time conversion contradicts the explicit rule that original amounts are retained only for reference and must not drive totals. This matters because the project defines such report-time reconversion as a defect. [span: they are never used to compute a total] || The scope excludes migration despite changing stored record shape and handling old JSON differently. That is risky because the store is versioned specifically so older files can be migrated forward. [span: No migration is written for previously-saved JSON files that already contain a stale amount_usd field]
E10,rep1,t09,1,yes_with_conditions,2,,,,,False,"docstring policy point — real, minor",The main risk is that the contract does not explicitly commit to all contribution-policy requirements for the new public function and final test verification.,"The contract adds a new public function but does not explicitly include the required public-function docstring. This matters because the contribution policy requires at least a one-line docstring for every public function. [span: `tally/store.py` gains a `delete_expense(data, expense_id)` function] || The verification promise is slightly weaker than the project rule: it names `pytest`, while the policy specifically requires `python -m pytest` with zero failures and zero warnings. The agent should confirm it will run the required command and check warnings. [span: The full existing test suite (`pytest`) passes with no regressions after the changes.]"
E24,rep1,t10,2,yes_with_conditions,2,,,,True,,scope-can't-deliver-goal reading; weaker than B1's explicit intent question,The contract under-specifies verification by promising only tests/test_cli.py rather than the required full `python -m pytest` suite.,"The contract only promises that CLI tests continue to pass, but the project requires the full test suite with zero failures and warnings. I would require the agent to run and satisfy the full suite before considering the work complete. [span: All existing tests in tests/test_cli.py continue to pass] || The hard file-scope exclusion may prevent the right fix if clean error handling belongs in the store, rates, or utility layers. I would allow the agent to start there only if it can amend the scope when investigation shows the error originates outside cli.py. [span: No changes to store.py, rates.py, utils.py, or any module other than cli.py and tests/test_cli.py]"
E02,rep1,t13,1,yes_with_conditions,1,,,,,False,,The contract may create misleading README wording by listing supported currencies without preserving the project requirement that reports and totals are denominated in USD.,"A bare list of codes could imply tally supports reporting or totals in all six currencies, while the requirements say totals and exports are always in USD. The contract should allow a short qualifier that these are accepted input currencies, not reporting denominations. [span: No exchange-rate information or conversion details added — listing only the currency codes]"
E05,rep1,t14,2,yes_with_conditions,3,,,,False,,"B1n flags are accuracy-vs-requirements, not intent; flagship misread still uncaught",The main risk is that the README may be rewritten to match current code behavior without explicitly checking it against the authoritative requirements document.,"The contract appears to use the current code as the documentation source of truth, but the project rules say the requirements document wins when code and docs disagree. Before proceeding, the agent should confirm the README changes will be checked against the requirements, not only against implementation details. [span: where the code, the README, or the marketing copy disagree with this document, this document wins until it is deliberately changed] || The contract promises to document a stats subcommand, but the authoritative requirements list reporting, filtering, listing, and CSV export, without naming stats. This may be valid if stats is supported and consistent with the requirements, but it should be confirmed before making it customer-facing. [span: README documents all six subcommands: add, report, list, export, stats, and budget] || The contract plans to explain budget behavior but does not explicitly commit to preserving the requirements' currency rule for budget comparisons. Since every budget comparison must be in US dollars, this should be part of the documentation check. [span: every total, summary, budget comparison, and export is denominated in US dollars]"
E04,rep1,t17,1,yes_with_conditions,2,,,,,False,,The rejection test is too narrow to prove that invalid categories are rejected before any store write happens.,"The contract promises the invalid add will not write to the store, but the proposed test only checks the exit code and error text. That leaves the most important safety behavior unverified if the implementation errors after writing. [span: The store file is NOT written when an invalid category is given] || The promised test does not verify that the error lists accepted categories, even though the contract says the error should do so. This weakens coverage of the requested clear-error behavior. [span: listing the accepted ones]"
E28,rep1,t20,4,yes_with_conditions,2,False,,True,,,R3 historical-total callout demanded — the trap surface,"The main risk is that the contract verifies only failures, not the project's required zero-warning test standard.","The contract commits only to no test failures, but project policy requires the pytest run to have zero warnings too. The agent should amend the verification condition to match the required command and warning standard. [span: Full test suite passes (`pytest`) with no failures] || The contract does not explicitly commit to calling out that this rate change affects historical SGD totals. That matters because the requirements say rate changes are deliberate and their impact must be surfaced. [span: the change should be called out because it alters every historical total that used that currency]"
E40,rep1,t21,1,yes,0,,,,,False,,,
E29,rep1,t22,2,yes,0,,,,False,,,,
