run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep3,t01,A,1,code,626405,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t01,Bp,1,code,449586,True,n/a,True,,True,1015,-176819,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t01,B,1,code,675213,True,n/a,True,promise,False,895,48808,0,False,,,,,pass,excellent,ok,False,
rep3,t02,A,2,code,446320,True,n/a,True,,True,1637,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t02,Bp,2,code,411788,True,n/a,True,,True,353,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t02,B,2,code,449994,True,n/a,True,promise,False,2444,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t03,A,3,code,308108,False,False,True,,True,1045,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t03,Bp,3,code,262492,False,False,True,,True,1111,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t03,B,3,code,176194,False,False,True,counter_offer,True,2660,n/a,n/a,n/a,,,,,,,,False,
rep3,t04,A,4,code,181184,False,n/a,True,,True,4136,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t04,Bp,4,code,249737,False,n/a,True,,True,740,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t04,B,4,code,116967,False,n/a,True,counter_offer,True,1841,n/a,n/a,n/a,,,,,,,,False,
rep3,t05,A,1,code,308333,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t05,Bp,1,code,310328,True,n/a,True,,False,,1995,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t05,B,1,code,400483,True,n/a,True,promise,False,776,92150,0,False,,,,,pass,excellent,ok,False,
rep3,t06,A,2,code,427624,True,n/a,True,,True,2019,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t06,Bp,2,code,329450,True,n/a,True,,True,1686,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t06,B,2,code,338639,True,n/a,True,promise,False,1850,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
