task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error
t01,A,1,code,577769,True,n/a,True,,,,0,n/a,n/a,
t01,Bp,1,code,444581,True,n/a,True,,,,-133188,n/a,n/a,
t01,B,1,code,562529,True,n/a,True,promise,False,840,-15240,1,False,
t02,A,2,code,373995,True,n/a,True,,,,n/a,n/a,n/a,
t02,Bp,2,code,526209,True,n/a,True,,,,n/a,n/a,n/a,
t02,B,2,code,388991,True,n/a,True,promise,False,3321,n/a,0,False,
t03,A,3,code,840216,False,False,True,,,,n/a,n/a,n/a,
t03,Bp,3,code,247051,False,False,True,,,,n/a,n/a,n/a,
t03,B,3,code,177318,False,False,True,counter_offer,True,2038,n/a,n/a,n/a,
t04,A,4,code,208380,False,n/a,True,,,,n/a,n/a,n/a,
t04,Bp,4,code,150359,False,n/a,True,,,,n/a,n/a,n/a,
t04,B,4,code,146731,False,n/a,True,counter_offer,True,2155,n/a,n/a,n/a,
t05,A,1,code,310630,True,n/a,True,,,,0,n/a,n/a,
t05,Bp,1,code,310427,True,n/a,True,,,,-203,n/a,n/a,
t05,B,1,code,378975,True,n/a,True,promise,False,721,68345,0,False,
t06,A,2,code,347557,True,n/a,True,,,,n/a,n/a,n/a,
t06,Bp,2,code,363689,True,n/a,True,,,,n/a,n/a,n/a,
t06,B,2,code,150443,False,n/a,True,counter_offer,True,2417,n/a,n/a,n/a,
t07,A,3,code,715395,True,True,True,,,,n/a,n/a,n/a,
t07,Bp,3,code,757510,True,True,True,,,,n/a,n/a,n/a,
t07,B,3,code,233340,False,False,True,counter_offer,True,1921,n/a,n/a,n/a,
t08,A,4,code,1075814,True,n/a,True,,,,n/a,n/a,n/a,
t08,Bp,4,code,1134026,True,n/a,True,,,,n/a,n/a,n/a,
t08,B,4,code,1317354,True,n/a,True,promise,False,2595,n/a,0,False,
t09,A,1,code,380275,True,n/a,True,,,,0,n/a,n/a,
t09,Bp,1,code,345434,True,n/a,True,,,,-34841,n/a,n/a,
t09,B,1,code,431481,True,n/a,True,promise,False,764,51206,0,False,
t10,A,2,code,667791,True,n/a,True,,,,n/a,n/a,n/a,
t10,Bp,2,code,385004,True,n/a,True,,,,n/a,n/a,n/a,
t10,B,2,code,766610,True,n/a,True,promise,False,1840,n/a,0,False,
t11,A,3,prose,147034,False,False,n/a,,,,n/a,n/a,n/a,
t11,Bp,3,prose,118437,False,False,n/a,,,,n/a,n/a,n/a,
t11,B,3,prose,115492,False,False,n/a,decline,True,646,n/a,n/a,n/a,
t12,A,4,prose,270986,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,Bp,4,prose,237522,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,B,4,prose,294572,True,n/a,n/a,promise,False,896,n/a,0,False,
t13,A,1,prose,113647,True,n/a,n/a,,,,0,n/a,n/a,
t13,Bp,1,prose,113970,True,n/a,n/a,,,,323,n/a,n/a,
t13,B,1,prose,202069,True,n/a,n/a,promise,False,657,88422,0,False,
t14,A,2,prose,302722,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,Bp,2,prose,228273,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,B,2,prose,311924,True,n/a,n/a,promise,False,1141,n/a,0,False,
t15,A,3,code,554387,True,True,True,,,,n/a,n/a,n/a,
t15,Bp,3,code,470167,True,True,True,,,,n/a,n/a,n/a,
t15,B,3,code,143138,False,False,True,decline,True,710,n/a,n/a,n/a,
t16,A,4,code,503194,True,n/a,True,,,,n/a,n/a,n/a,
t16,Bp,4,code,519398,True,n/a,True,,,,n/a,n/a,n/a,
t16,B,4,code,90654,False,n/a,True,counter_offer,True,2226,n/a,n/a,n/a,
t17,A,1,code,289384,True,n/a,True,,,,0,n/a,n/a,
t17,Bp,1,code,328991,True,n/a,True,,,,39607,n/a,n/a,
t17,B,1,code,381903,True,n/a,True,promise,False,735,92519,0,False,
t18,A,2,code,310490,True,n/a,True,,,,n/a,n/a,n/a,
t18,Bp,2,code,421711,True,n/a,True,,,,n/a,n/a,n/a,
t18,B,2,code,122805,False,n/a,True,counter_offer,True,1367,n/a,n/a,n/a,
t19,A,3,code,360314,True,True,False,,,,n/a,n/a,n/a,
t19,Bp,3,code,288827,True,True,False,,,,n/a,n/a,n/a,
t19,B,3,code,181558,False,False,True,counter_offer,True,2408,n/a,n/a,n/a,
t20,A,4,code,493185,True,n/a,True,,,,n/a,n/a,n/a,
t20,Bp,4,code,325641,True,n/a,True,,,,n/a,n/a,n/a,
t20,B,4,code,292353,True,n/a,False,promise,False,984,n/a,0,False,
t21,A,1,prose,113624,True,n/a,n/a,,,,0,n/a,n/a,
t21,Bp,1,prose,205788,True,n/a,n/a,,,,92164,n/a,n/a,
t21,B,1,prose,201342,True,n/a,n/a,promise,False,637,87718,0,False,
t22,A,2,prose,235733,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,Bp,2,prose,240360,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,B,2,prose,351453,True,n/a,n/a,promise,False,1096,n/a,0,False,
t23,A,3,prose,257028,True,True,n/a,,,,n/a,n/a,n/a,
t23,Bp,3,prose,195941,True,True,n/a,,,,n/a,n/a,n/a,
t23,B,3,prose,113728,False,False,n/a,counter_offer,True,840,n/a,n/a,n/a,
t24,A,4,prose,200569,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,Bp,4,prose,205846,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,B,4,prose,229196,True,n/a,n/a,promise,False,629,n/a,0,False,
