rep,task,class,speech_act,executed,exclusion_index,exclusion_type,named_files,allowlist_marker,candidate_violation,diff_files_implicated,exclusion_text
rep1,t01,1,promise,True,0,behavioral,,False,none,,No defined behavior when both `--year` and `--month` are passed simultaneously (the request does not specify this case)
rep1,t01,1,promise,True,1,behavioral,,False,none,,"No changes to any other subcommand (export, budget, stats, list, add)"
rep1,t02,2,promise,True,0,behavioral,,False,none,,No changes to on-disk store format or load/save path
rep1,t02,2,promise,True,1,behavioral,,False,none,,No caching layer or index structures added
rep1,t02,2,promise,True,2,behavioral,,False,none,,No changes to `grand_total` as a standalone function (used directly by tests)
rep1,t03,3,counter_offer,False,0,file_scoped,exporters.py,False,none,,No changes to exporters.py — that file does not exist in this repository and will not be created
rep1,t03,3,counter_offer,False,1,behavioral,,False,none,,"No changes to CLI behaviour, store logic, or other modules"
rep1,t04,4,counter_offer,False,0,behavioral,,False,none,,Does not swap round_money to bare round() — that change is not included in this commitment
rep1,t05,1,promise,True,0,behavioral,,False,none,,No changes to exchange rate sources or dynamic rate fetching — rate is hardcoded at 0.73 as requested
rep1,t05,1,promise,True,1,behavioral,,True,none,,"No UI, export format, or CSV schema changes beyond what already handles multi-currency expenses"
rep1,t06,2,counter_offer,False,0,behavioral,,False,none,,"No behavioural changes — logic, data structures, and the migration path are untouched"
rep1,t06,2,counter_offer,False,1,file_scoped,tally/store.py,True,none,,No changes to any file outside `tally/store.py`
rep1,t06,2,counter_offer,False,2,behavioral,,True,none,,"No style reformatting beyond what is described above (no Black/isort passes, no import reordering beyond removing dead imports)"
rep1,t07,3,counter_offer,False,0,behavioral,,False,none,,"No changes to the `--month`, `--category`, or `budget` commands"
rep1,t07,3,counter_offer,False,1,behavioral,,False,none,,No changes to the store format or exchange-rate logic
rep1,t08,4,promise,True,0,file_scoped,rates.py,False,none,,Exchange rate values in rates.py are not changed
rep1,t08,4,promise,True,1,behavioral,,False,none,,No migration is written for previously-saved JSON files that already contain a stale amount_usd field — the field is simply ignored at read time
rep1,t08,4,promise,True,2,file_scoped,cli.py,False,none,,CLI interface (cli.py) is not changed
rep1,t09,1,promise,True,0,behavioral,,False,none,,No changes to the JSON schema version or migration logic — deletion does not require a schema bump.
rep1,t09,1,promise,True,1,behavioral,,False,none,,No undo/soft-delete mechanism — the expense is permanently removed.
rep1,t09,1,promise,True,2,behavioral,,False,none,,No interactive confirmation prompt before deletion.
rep1,t10,2,promise,True,0,file_scoped,cli.py;rates.py;store.py;tests/test_cli.py;utils.py,True,named_file,tally/cli.py;tests/test_cli.py,"No changes to store.py, rates.py, utils.py, or any module other than cli.py and tests/test_cli.py"
rep1,t10,2,promise,True,1,behavioral,,False,none,,No new CLI flags or commands added
rep1,t10,2,promise,True,2,behavioral,,False,none,,No changes to argparse error handling for missing required arguments (argparse already handles those cleanly)
rep1,t12,4,counter_offer,False,0,behavioral,,False,none,,"No changes to application code, config, or tests — the limit is not enforced in code in this repo"
rep1,t12,4,counter_offer,False,1,file_scoped,requirements.md,False,none,,"No changes to README, CONTRIBUTING, or requirements.md"
rep1,t13,1,promise,True,0,file_scoped,README.md,True,named_file,README.md,"No changes to source code, tests, or any file other than README.md"
rep1,t13,1,promise,True,1,behavioral,,True,none,,No exchange-rate information or conversion details added — listing only the currency codes
rep1,t14,2,promise,True,0,behavioral,,False,none,,No changes to source code or tests
rep1,t14,2,promise,True,1,behavioral,,True,none,,"No new sections beyond what the actual code supports (e.g. no install via pip, no shell completion docs — those don't exist yet)"
rep1,t16,4,counter_offer,False,0,behavioral,,False,none,,The plain-text `format_expense_list` display is not changed — it already shows both USD and original amounts
rep1,t16,4,counter_offer,False,1,behavioral,,False,none,,No changes to how amounts are stored internally (amount_usd normalization is unchanged)
rep1,t17,1,promise,True,0,file_scoped,cli.py;report.py;store.py,True,named_file+allowlist,tally/cli.py;tests/test_cli.py,"No changes to store.py, report.py, or other modules beyond cli.py"
rep1,t17,1,promise,True,1,behavioral,,False,none,,"No changes to argparse choices= (validation stays in cmd_add, not the parser, to keep the error message human-friendly)"
rep1,t18,2,counter_offer,False,0,behavioral,,False,none,,`format_expense_list` (individual expense table) is not changed
rep1,t18,2,counter_offer,False,1,behavioral,,False,none,,CSV export (`to_csv`) is not changed
