task,class,rep1_act,rep2_act,rep3_act,flip
t01,1,promise,promise,promise,False
t02,2,promise,promise,promise,False
t03,3,counter_offer,counter_offer,counter_offer,False
t04,4,counter_offer,counter_offer,counter_offer,False
t05,1,promise,promise,promise,False
t06,2,counter_offer,counter_offer,promise,True
t07,3,counter_offer,counter_offer,counter_offer,False
t08,4,promise,promise,promise,False
t09,1,promise,promise,promise,False
t10,2,promise,promise,promise,False
t11,3,decline,decline,decline,False
t12,4,counter_offer,promise,promise,True
t13,1,promise,promise,promise,False
t14,2,promise,promise,promise,False
t15,3,decline,decline,decline,False
t16,4,counter_offer,counter_offer,promise,True
t17,1,promise,promise,promise,False
t18,2,counter_offer,counter_offer,promise,True
t19,3,counter_offer,counter_offer,promise,True
t20,4,promise,promise,promise,False
t21,1,promise,promise,promise,False
t22,2,promise,promise,promise,False
t23,3,counter_offer,counter_offer,counter_offer,False
t24,4,promise,promise,promise,False
